numerator,1
"(10, -6)",11302286725486708876230843122795396053892971321488000*x+25272681112582196394781925977247993241135264025123200
"(10, -4)",-4865369351831079496262528469883464607461444245193355*x-10879209723889462723422545217423079951373511899644514
"(10, -2)",172762704519805451520237356527717308254233781824000*x+385867193460175320080283536968279586883113251709440
"(10, 0)",-94848443045299662451364716430939695926479700783000
"(10, 2)",-172762704519805451520237356527717308254233781824000*x+385867193460175320080283536968279586883113251709440
"(10, 4)",4865369351831079496262528469883464607461444245193355*x-10879209723889462723422545217423079951373511899644514
"(10, 6)",-11302286725486708876230843122795396053892971321488000*x+25272681112582196394781925977247993241135264025123200
"(10, 8)",219178466164356200212980030282451482948907962217746400*x-490097949476908376526913226736982796137933002226450060
"(10, 10)",-2745805814697494543467823706186983779833596729685832000*x+6139808454676433908404501348613301230763159577776072000
"(10, 12)",6430195246888189648661545149197849038327398213607824150*x-14378353680638031208538916618117683055366827512580910540
"(10, 14)",30758412578375088450487841331563439203797210571698592000*x-68777901405231275663864042084096456075156124870709779200
"(10, 16)",260665506336523847249813562566314658984247040805212699880*x-582865791557869494608422272658402824237009078181263507436
"(10, 18)",-912114203981714921546329675973059591809876323313236409600*x+2039549363346223910711331515671967604966432561722274474240
"(10, 20)",-510879982369997908926633680099763582398399936518894446475*x+1142362368923209440998033265571523212966557277404033409450
"(10, 22)",225132923288852017434647005994781563226191814070102366400*x-503412520447118632659704994560803569732878064036864335680
"(11, -23)",-11980849823756661732355375629210484257843916061824955029090*x-26789994634136270436280444050377493768275559278477440172570
"(11, -21)",-15472736671325985316821329489003867017916374598787683845686*x-34598090995038724258497476848441334334430650326086583321946
"(11, -19)",2619894065215608593455311598272989916847343804404084022506*x+5858261223670368035869738890989645169944914393254717866674
"(11, -17)",3840804031636204920432846335157929878616885772581492620460*x+8588298902993807017328386233873534307511973076501377503620
"(11, -15)",128299586417815216748050393502858010124582820875003193400*x+286886596715343559671721624594144842200251575525022303800
"(11, -13)",-143324486644980917701120951661595587893769380600056018170*x-320483294978437991352729795450884921860111689662450716910
"(11, -11)",2838843796180304640864360250566977361373228634201846808*x+6347847705761318054060062302507188186634719692528681368
"(11, -9)",3654007415693673327584762994493498144595676602501907786*x+8170608969706266917757617134369391146310272455326604894
"(11, -7)",1199343947317241042088635236373673895060055045376798430*x+2681814653156696191606304787461829316443343362098903110
"(11, -5)",-7509759450539504510040092699811518391901299292398300*x-16793018043008471803839252002979796878447947493501300
"(11, -3)",15588236532483484177580087981493773130364405614643650*x+34921000985823637164248463800278752395742349638170250
"(11, -1)",2358756060849053304035163146787107773955560702358044*x+5623312392890122821930573408878528897875281069472564
"(11, 1)",-2358756060849053304035163146787107773955560702358044*x+5623312392890122821930573408878528897875281069472564
"(11, 3)",-15588236532483484177580087981493773130364405614643650*x+34921000985823637164248463800278752395742349638170250
"(11, 5)",7509759450539504510040092699811518391901299292398300*x-16793018043008471803839252002979796878447947493501300
"(11, 7)",-1199343947317241042088635236373673895060055045376798430*x+2681814653156696191606304787461829316443343362098903110
"(11, 9)",-3654007415693673327584762994493498144595676602501907786*x+8170608969706266917757617134369391146310272455326604894
"(11, 11)",-2838843796180304640864360250566977361373228634201846808*x+6347847705761318054060062302507188186634719692528681368
"(11, 13)",143324486644980917701120951661595587893769380600056018170*x-320483294978437991352729795450884921860111689662450716910
"(11, 15)",-128299586417815216748050393502858010124582820875003193400*x+286886596715343559671721624594144842200251575525022303800
"(11, 17)",-3840804031636204920432846335157929878616885772581492620460*x+8588298902993807017328386233873534307511973076501377503620
"(11, 19)",-2619894065215608593455311598272989916847343804404084022506*x+5858261223670368035869738890989645169944914393254717866674
"(11, 21)",15472736671325985316821329489003867017916374598787683845686*x-34598090995038724258497476848441334334430650326086583321946
"(11, 23)",11980849823756661732355375629210484257843916061824955029090*x-26789994634136270436280444050377493768275559278477440172570
"(12, -26)",68009489326569583692330583376794488013591701665195122757568*x+152073841249255983380110987199308189100290123987267421307204
"(12, -24)",678576603089434227387415074325095290595845605326940540531200*x+1517343412448868737357171892024682399623737533844954546150400
"(12, -22)",209325794985434489107734500680723679225339203116459974751840*x+468066707031616118051539651223720047537886818444966407307740
"(12, -20)",-246721303160236734891943926869878597839441633596124267970560*x-551685605363623027835044801376791221197219425796609551073280
"(12, -18)",815721233272324695840385985487312333020657121640626448320*x+1824008128286881240265982427394254395236659296167310678480
"(12, -16)",621689413313997479790182450948355750876017656493675462400*x+1390139789062061167980928474921128085555688771656808755200
"(12, -14)",4200904673096174531830833375612925134149754234832235674272*x+9393508416039576379812159572623921167656324239323263591724
"(12, -12)",-826131367840748330084336811405343718727567512424757493760*x-1847285896836389231811066908528135950785329034138315816960
"(12, -10)",19062508167019865596310135812231809757736276899366446240*x+42625064077756692024842839862570842134297471623057567040
"(12, -8)",-37901297195991361822767029580109450382524185306340861440*x-84749877690329085019950962881033428168161522604891279360
"(12, -6)",29253951821302719102668754811693117549827863432251200*x+65421170770196053675533219101422131123780752169543600
"(12, -4)",-1164354644923399382140943754622817628934418377817161728*x-2603622684389509971599172319085588971810570498517139456
"(12, -2)",83510509908038982541642088897748170938513306299234720*x+193376095896227108458567196831495640413958931795554420
"(12, 0)",22926315638946786102448149228041543993278601773824000
"(12, 2)",-83510509908038982541642088897748170938513306299234720*x+193376095896227108458567196831495640413958931795554420
"(12, 4)",1164354644923399382140943754622817628934418377817161728*x-2603622684389509971599172319085588971810570498517139456
"(12, 6)",-29253951821302719102668754811693117549827863432251200*x+65421170770196053675533219101422131123780752169543600
"(12, 8)",37901297195991361822767029580109450382524185306340861440*x-84749877690329085019950962881033428168161522604891279360
"(12, 10)",-19062508167019865596310135812231809757736276899366446240*x+42625064077756692024842839862570842134297471623057567040
"(12, 12)",826131367840748330084336811405343718727567512424757493760*x-1847285896836389231811066908528135950785329034138315816960
"(12, 14)",-4200904673096174531830833375612925134149754234832235674272*x+9393508416039576379812159572623921167656324239323263591724
"(12, 16)",-621689413313997479790182450948355750876017656493675462400*x+1390139789062061167980928474921128085555688771656808755200
"(12, 18)",-815721233272324695840385985487312333020657121640626448320*x+1824008128286881240265982427394254395236659296167310678480
"(12, 20)",246721303160236734891943926869878597839441633596124267970560*x-551685605363623027835044801376791221197219425796609551073280
"(12, 22)",-209325794985434489107734500680723679225339203116459974751840*x+468066707031616118051539651223720047537886818444966407307740
"(12, 24)",-678576603089434227387415074325095290595845605326940540531200*x+1517343412448868737357171892024682399623737533844954546150400
"(12, 26)",-68009489326569583692330583376794488013591701665195122757568*x+152073841249255983380110987199308189100290123987267421307204
