"(v, u)","a(v, u)"
"(8, 4)","(-68137976859656474378231303365687473986352994150731891553137231883346362175435702920571600, 30472229615032747141390107580895932418735485867062122600679440867482838991005983142841600)"
"(8, 6)","(-2537144963190967336547727551622873294921417981497278990029478118285640955559973172908793632, 1134645721293242484550860324417588725027821825300377294991207445766504523906127877946149888)"
"(8, 8)","(180327327247551216031192594514867386220523879144149904882108645439558464891043562582851970960, -80644832385274913193422322152928731683342916485138373029928389765859821212116721958047367680)"
"(8, 10)","(891630449805420067896994186540730234653862198093602118061020062394273510999967224466543244800, -398749259314726681335012082494373659266022339385258138073290927296607908501555813427070388480)"
"(8, 12)","(-76174675758604393752426248943933694090135362636008792367806798456648790091773477604889434938960, 34066350632048957030551866440022641813726314774726212785281196489547102776598614913684520293120)"
"(8, 14)","(346397697993073344584896124161203909405337885186923236713074732496256920592882710293323481942832, -154913759992390894791073467006393398245018475722724145233344430044169559824142973054946983623552)"
"(8, 16)","(-273653963697472478328765252501597504380713928855630117460179939567139291253231123807165567471416, 122381773027961631213461052254078358232978198154340430309810955064861391549092435414805843279104)"
"(9, -19)","(150560437177245745158073346378370756088613455327317292459288475082034164892300457233299976625398728, 67332674450081607799103745677869840048833408588124509274977155948518665359411494686042910335910464)"
"(9, -17)","(-283926215540861002438021004664577906976416945812933467356584016205821171152388088773991975218067220, -126975663708724483925510044606485051012783844766335582517563412384317404644814875999756808553566720)"
"(9, -15)","(120561624459205324271702354298738234916835640335434940247557203035891302788658545037801371471872000, 53916797553716885231783503466085561886209121889812161068766241012106884776655151044805337982886400)"
"(9, -13)","(-14322777600332252660509061125246457805495281843011932888923620343028905983399370607427117599399960, -6405340868190846280608706722768159196343083936732440814210867826216121332405373468159698404472640)"
"(9, -11)","(-199356982146829593102625156184420067965548839292301382957637735810839863513299614785772377596128, -89155152773904586159386660407352318958635768087425536327085872186839222462773515959651428729856)"
"(9, -9)","(60108987418007645580245048821984196632130077304108769426088075001477495032699369841776698740214, 26881556385068932398786850240436340147353165878094398659135643268802453668671314223363125611712)"
"(9, -7)","(-1613625239499590542696880388011996816473020338053886311762553553814166347054111531359357284460, -721635145146093530239058248425910922011920370188661683655989357691984994690465483173982693760)"
"(9, -5)","(13355757327044790136736521984647254378325199082831775770413139997208875340660734477807168000, 5972876254492382397279741234188804338346824409695330407677219159865893123228546607376492800)"
"(9, -3)","(2100744946690096069614358635344707302883608465325899426563170677764783820888062151224935680, 939481670592636498662373657078791197182079370442877165454225973867726415752426187067819520)"
"(9, -1)","(18157487983041407246568623900429223889236662373948777020489736881862952318380940272120372, 8152684321956569340434907813902782159420909348073219817232294959805894320807826862717184)"
"(9, 1)","(-18157487983041407246568623900429223889236662373948777020489736881862952318380940272120372, 8152684321956569340434907813902782159420909348073219817232294959805894320807826862717184)"
"(9, 3)","(-2100744946690096069614358635344707302883608465325899426563170677764783820888062151224935680, 939481670592636498662373657078791197182079370442877165454225973867726415752426187067819520)"
"(9, 5)","(-13355757327044790136736521984647254378325199082831775770413139997208875340660734477807168000, 5972876254492382397279741234188804338346824409695330407677219159865893123228546607376492800)"
"(9, 7)","(1613625239499590542696880388011996816473020338053886311762553553814166347054111531359357284460, -721635145146093530239058248425910922011920370188661683655989357691984994690465483173982693760)"
"(9, 9)","(-60108987418007645580245048821984196632130077304108769426088075001477495032699369841776698740214, 26881556385068932398786850240436340147353165878094398659135643268802453668671314223363125611712)"
"(9, 11)","(199356982146829593102625156184420067965548839292301382957637735810839863513299614785772377596128, -89155152773904586159386660407352318958635768087425536327085872186839222462773515959651428729856)"
"(9, 13)","(14322777600332252660509061125246457805495281843011932888923620343028905983399370607427117599399960, -6405340868190846280608706722768159196343083936732440814210867826216121332405373468159698404472640)"
"(9, 15)","(-120561624459205324271702354298738234916835640335434940247557203035891302788658545037801371471872000, 53916797553716885231783503466085561886209121889812161068766241012106884776655151044805337982886400)"
"(9, 17)","(283926215540861002438021004664577906976416945812933467356584016205821171152388088773991975218067220, -126975663708724483925510044606485051012783844766335582517563412384317404644814875999756808553566720)"
"(9, 19)","(-150560437177245745158073346378370756088613455327317292459288475082034164892300457233299976625398728, 67332674450081607799103745677869840048833408588124509274977155948518665359411494686042910335910464)"
"(10, -22)","(32258224646787662814567253133138577412798930326647245535810234646159900301629436878839678269676753180, 14426316628735271408248890668798189552749182981358003262874435884977633093760734224326273754674851200)"
"(10, -20)","(-112307206493401454952297009510979563082402783775683706954834681392533942955564401145664235045776988250, -50225309616470287972387779288559626018385755867476018734516982565948479473453228408416290894789208000)"
"(10, -18)","(61523687440012154644972484286952701357502791449891147820649153334714038906614411295019232914239070640, 27514229468463438512002268414042502818304252049482767402189968148087430957548116100012723049875270400)"
"(10, -16)","(-15244319385758301743519827191720307080099965304165811685416562119336327475471112637962969572107901248, -6817466883454680429672115059246340476905800511335782060881198995211174279485809437863502171484181440)"
"(10, -14)","(835568239136576753553370140064546539095170781805890306994077175683669841486850378524489915256187600, 373677476509837160918105890129130317663796898350819459136276772866809641954073001754436715803232000)"
"(10, -12)","(115389871819354295081125305895112639945980389808176081052542245932768002714337293817817620749569940, 51603919460612707410720304664795635921009444397791616679940814306522917337268737235646423236777600)"
"(10, -10)","(-9979183384435745767266253302166473599435989401331990211683756431170982223773414421385973178802500, -4462826481506948871605957883244327332311413235435380676529326292867048359302949631099049267920000)"
"(10, -8)","(336768204891322892428133259812470459579210982648422560905363696412290400626347067294781983736640, 150607319759515142736159061110938288149778768694770251498033071607352050458854130587662898318400)"
"(10, -6)","(-7415474760924072697727811611979211645096608321446715298798483703759196643492360954677125603400, -3316301130119091017103532523361996596939649904510110366481185398415720370180478584853955072000)"
"(10, -4)","(-1011030271063358122059448217464315536019850632409214991309672085810990793328753980176808639878, -452146469448171181927917312931637978005187672281391901079951359627415593402549890183948631360)"
"(10, -2)","(7445093352160766331552868877905961719096124920276587906045125139629404460588527048098563360, 3332159516051685785374582331199643696656599167686686082281719772227188097808221628965286400)"
"(10, 0)","(0, 348381766792203646773058197760767157535109134029246814819647542147868641609084437948880000)"
"(10, 2)","(-7445093352160766331552868877905961719096124920276587906045125139629404460588527048098563360, 3332159516051685785374582331199643696656599167686686082281719772227188097808221628965286400)"
"(10, 4)","(1011030271063358122059448217464315536019850632409214991309672085810990793328753980176808639878, -452146469448171181927917312931637978005187672281391901079951359627415593402549890183948631360)"
"(10, 6)","(7415474760924072697727811611979211645096608321446715298798483703759196643492360954677125603400, -3316301130119091017103532523361996596939649904510110366481185398415720370180478584853955072000)"
"(10, 8)","(-336768204891322892428133259812470459579210982648422560905363696412290400626347067294781983736640, 150607319759515142736159061110938288149778768694770251498033071607352050458854130587662898318400)"
"(10, 10)","(9979183384435745767266253302166473599435989401331990211683756431170982223773414421385973178802500, -4462826481506948871605957883244327332311413235435380676529326292867048359302949631099049267920000)"
"(10, 12)","(-115389871819354295081125305895112639945980389808176081052542245932768002714337293817817620749569940, 51603919460612707410720304664795635921009444397791616679940814306522917337268737235646423236777600)"
"(10, 14)","(-835568239136576753553370140064546539095170781805890306994077175683669841486850378524489915256187600, 373677476509837160918105890129130317663796898350819459136276772866809641954073001754436715803232000)"
"(10, 16)","(15244319385758301743519827191720307080099965304165811685416562119336327475471112637962969572107901248, -6817466883454680429672115059246340476905800511335782060881198995211174279485809437863502171484181440)"
"(10, 18)","(-61523687440012154644972484286952701357502791449891147820649153334714038906614411295019232914239070640, 27514229468463438512002268414042502818304252049482767402189968148087430957548116100012723049875270400)"
"(10, 20)","(112307206493401454952297009510979563082402783775683706954834681392533942955564401145664235045776988250, -50225309616470287972387779288559626018385755867476018734516982565948479473453228408416290894789208000)"
"(10, 22)","(-32258224646787662814567253133138577412798930326647245535810234646159900301629436878839678269676753180, 14426316628735271408248890668798189552749182981358003262874435884977633093760734224326273754674851200)"
"(11, -23)","(-30027083296371536960293388977485667163176854316548114285186316197106275737670330715893550561143844220920, -13428519883347044187186093562294847314200155436037989382736833894602185159944509664633501215501103734720)"
"(11, -21)","(11754752498958411765124996003632423386168644418573592217198781819974031689408175187455621811374540645472, 5256885129271306917119089820747406688947866383998236183944125653907303554254672907451826193741268306816)"
"(11, -19)","(-5584393393539316903246277097180272073459431379796329044319097486169632939991380699572950596147491899072, -2497416648210929499318043570613525120140818682389902668481605905092037933118694398605812642698565137344)"
"(11, -17)","(681675997671139520167566505234825742083309953278989919683711097939664850259300555603768607294840900080, 304854773884531259614264106796936741609534549920821876983124641841473643589592123662609050229204968320)"
"(11, -15)","(46541816454212661409694099416154795890054985127019680469513024753614284094113545342465680874104384000, 20814133077587547848428616564618219485772289138985689608435320939175732267452816227410534929835923200)"
"(11, -13)","(-14208896002621204030547106537110825067323448821773953997813193603569289925798577476771332739554413760, -6354411469417208442669860124376436532229515655188403736164578418185762790904379759209881185418935360)"
"(11, -11)","(676892507496039271561757345646675549405317108716434430434215220313823767289205784122434250908182944, 302715532044285954054109397327003484254984245879356099895677803899662005270722344075953901095703552)"
"(11, -9)","(-34752915192257290453661469149245380692311057441091130859299367165447707451485100612013548059866472, -15541976157234500075279705206993024569379167458733449210338009808132785386579416145322221370048704)"
"(11, -7)","(-167880934270812589136574224476852500661129428496118581267772385097032193594953913756888251091160, -75078636232823951748980952507636947920348572358813465534568781506341336721544229081541046747840)"
"(11, -5)","(314029855419902062428991586771225448512439570455633305518486182641497252812630422506328457472000, 140438420672418215531950728116917798814855457815321038222006941281469044046104047854782244124800)"
"(11, -3)","(-1745396735977549303905077340189924327130344867510283265070409456860283047472976080625993942400, -780531431419060689828614817461600534045907989077601442655988115199341479044631101141181534400)"
"(11, -1)","(-175736927653086674387533393796038079744769184843163997862471736974220311501267672860256513328, -76505234429125419433704799938704360322064649828355640441734550288664321894938245693694222464)"
"(11, 1)","(175736927653086674387533393796038079744769184843163997862471736974220311501267672860256513328, -76505234429125419433704799938704360322064649828355640441734550288664321894938245693694222464)"
"(11, 3)","(1745396735977549303905077340189924327130344867510283265070409456860283047472976080625993942400, -780531431419060689828614817461600534045907989077601442655988115199341479044631101141181534400)"
"(11, 5)","(-314029855419902062428991586771225448512439570455633305518486182641497252812630422506328457472000, 140438420672418215531950728116917798814855457815321038222006941281469044046104047854782244124800)"
"(11, 7)","(167880934270812589136574224476852500661129428496118581267772385097032193594953913756888251091160, -75078636232823951748980952507636947920348572358813465534568781506341336721544229081541046747840)"
"(11, 9)","(34752915192257290453661469149245380692311057441091130859299367165447707451485100612013548059866472, -15541976157234500075279705206993024569379167458733449210338009808132785386579416145322221370048704)"
"(11, 11)","(-676892507496039271561757345646675549405317108716434430434215220313823767289205784122434250908182944, 302715532044285954054109397327003484254984245879356099895677803899662005270722344075953901095703552)"
"(11, 13)","(14208896002621204030547106537110825067323448821773953997813193603569289925798577476771332739554413760, -6354411469417208442669860124376436532229515655188403736164578418185762790904379759209881185418935360)"
"(11, 15)","(-46541816454212661409694099416154795890054985127019680469513024753614284094113545342465680874104384000, 20814133077587547848428616564618219485772289138985689608435320939175732267452816227410534929835923200)"
"(11, 17)","(-681675997671139520167566505234825742083309953278989919683711097939664850259300555603768607294840900080, 304854773884531259614264106796936741609534549920821876983124641841473643589592123662609050229204968320)"
"(11, 19)","(5584393393539316903246277097180272073459431379796329044319097486169632939991380699572950596147491899072, -2497416648210929499318043570613525120140818682389902668481605905092037933118694398605812642698565137344)"
"(11, 21)","(-11754752498958411765124996003632423386168644418573592217198781819974031689408175187455621811374540645472, 5256885129271306917119089820747406688947866383998236183944125653907303554254672907451826193741268306816)"
"(11, 23)","(30027083296371536960293388977485667163176854316548114285186316197106275737670330715893550561143844220920, -13428519883347044187186093562294847314200155436037989382736833894602185159944509664633501215501103734720)"
"(12, -26)","(-5177166214060060060561784296767067405548827498397217112291884682157889284886658530528886528876222511309768, -2315299117090704357300758986566157276639111674292725009339270871376229072107101821657928663195701845673408)"
"(12, -24)","(-1016251088389122949044844211383051991001540234494709470423287445509720179711206333145984706254645611923200, -454481303169245232883294190525107506984483301054953879888437964102754803621598802468123088347318603980800)"
"(12, -22)","(-1486687810957720298214784350818690482866655527298065645442821218124663806426081747380799076674036356644840, -664867001324363861890949511478368881645047761253955436655823566354777420916155982852931274993653810957120)"
"(12, -20)","(153588915896775286402087156817377857108306422725042297063588308656158941126006117090964021966737498931200, 68687051307137522627314813057494182958274190813992761627425051913814143229235275215540491956528113661440)"
