numerator,(17711*x-39603)/2
"(12, -24)",274868997619243894748767635564729600*x+614625763583857204872893556182995200
"(12, -22)",2176573929928766812556127145127963790*x+4866967265374586584308337831436848710
"(12, -20)",-537160087146586452868880978657771520*x-1201126469659478349000242249849241600
"(12, -18)",-234887804611329254954136849325098000*x-525225098196620782963127454711600720
"(12, -16)",-37619359657654241871321039048513600*x-84119445464528101529095139615649600
"(12, -14)",60922952702030294367281339085903006*x+136227863631744228156303478892136342
"(12, -12)",-12773351747201302244124457351004160*x-28562082807257820935868685170032640
"(12, -10)",3501892984313086279733827933025760*x+7830470762853664599677253319903200
"(12, -8)",327378703244069530939309866144000*x+732041034839473843861685093418240
"(12, -6)",-76870614628678286504233454446800*x-171887919781856408297608667734800
"(12, -4)",118174846252711052840564223737856*x+264246989450806355816802585526272
"(12, -2)",-22006222209640979325291703431330*x-49207408787841477215749001927370
"(12, 0)",-638717017844786324170708224000*x-1428214668465647878618717440000
"(12, 2)",-309103982088553575380255552550*x-691177453317242730189571610430
"(12, 4)",295240337890399707579681988608*x+660177128258655177336332525568
"(12, 6)",-20339197071881379010290399600*x-45479608071276900498794449200
"(12, 8)",-1208971419156163867220040960*x-2704275765186986212944195840
"(12, 10)",354326246933537005529355360*x+782312261029724525769084000
"(12, 12)",36421992331256879985623040
"(12, 14)",37986941112430123369515978*x-88774597373134310956888302
"(12, 16)",-23980567529085697119499200*x+53645831336104241922081600
"(12, 18)",-149762957752612263411699120*x+334879983118515488991653520
"(12, 20)",-342489739267420466126929920*x+765830337621554411985715200
"(12, 22)",1387769223961176246912433050*x-3103146321858780932158073310
"(12, 24)",175254665266295509432492800*x-391881344909408042327251200
"(12, 26)",-691693548699910193648181414*x+1546673794491060475505479362
"(13, -29)",(2706074082469569338358691163510069157*x+6050965600552329018623146299409643807)/2
"(13, -27)",-16048533832344321786164633574331042200*x-35885612588327116635705899804272426470
"(13, -25)",-9877779622121258305371143166657856560*x-22087386701825318986122406225327323600
"(13, -23)",-12280036525444849182929970178146365520*x-27458996437075008664489966384175621080
"(13, -21)",7969293511178652964614325290995388699*x+17819882023643448204717783573059148753
"(13, -19)",-1690811701313396588194252021505698992*x-3780769901288825218846722710889810257
"(13, -17)",-839809030209911909189457413981416050*x-1877870079667537508380014763459914310
"(13, -15)",-552222544803537441238452886943597760*x-1234807148888632966685118433501891200
"(13, -13)",145353060628507547602083236165506995*x+325019324302991182803744668826068105
"(13, -11)",32254376374972987401716904056209464*x+72122978146302840058500744487816058
"(13, -9)",6578736841469329296844381164963072*x+14710502783607735291880033832126592
"(13, -7)",-4712289773428395212305081196354400*x-10537000263062450480340901488004000
"(13, -5)",-1879982788757783813742414001980960*x-4203769312191106651523164294456800
"(13, -3)",-737326155138463518011844209300160*x-1648711404480188155311084077160240
"(13, -1)",-13839252813027324687126969826626*x-30945509957919223513586557187062
"(13, 1)",-31498534291946703909416110935768*x-70432863828939729150779084731828
"(13, 3)",711181155888423947130043829400*x+1590251511298489000431780029640
"(13, 5)",-324532892100323592223956164160*x-725672247079591480367366870400
"(13, 7)",-183572769196590762118872494400*x-410467754097309488553404224000
"(13, 9)",-20173505619823832546611079616*x-45128088550068978662498663232
"(13, 11)",2225379643471225860824759067*x+4884129885415666529305436177
"(13, 13)",-414460367514436258386544030
"(13, 15)",-354326246933537005529355360*x+782312261029724525769084000
"(13, 17)",-535371639978574041412861560*x+1197507846572196529173616460
"(13, 19)",(-2156101823836903720942337763*x+4821185858117125836472369319)/2
"(13, 21)",5081169132884557911323091672*x-11361839593147609546310846118
"(13, 23)",-7829670531624454873052209500*x+17507675550272177064960162380
"(13, 25)",-6298007328011216929948126560*x+14082772508224901027363966400
"(13, 27)",-10232439631836496287568826445*x+22880430592449326945636897145
"(13, 29)",862687519539670318898535192*x-1929027937031380914713107361
"(14, -30)",11559116012553117604884814658844537600*x+25846969163875083370470213569966880000
"(14, -28)",-36514083855901442667311223656419156500*x-81647973637923261301476183399141290500
"(14, -26)",3261012965621995491646793569949376000*x+7291846666638966685784362313099641600
"(14, -24)",-3764542172472886694756792121820302237*x-8417772201814112228394791817305294793
"(14, -22)",-3532613939695881132089443671655261440*x-7899164907423332966715132109043767040
"(14, -20)",-12896611469535431604602669795099627400*x-28837699925284683208991868391009053000
"(14, -18)",1896475259439165438178717293972126720*x+4240647597752523610079807494901936640
"(14, -16)",-3458025731111810826072350262978143205*x-7732380602709418424931142216585844497
"(14, -14)",-85592644630032603676062843896160000*x-191390971766735239576089463300640000
"(14, -12)",-295127108582779587421052431468463160*x-659924276794056782148480201481004760
"(14, -10)",-23154497981286678818615688335308800*x-51775031471038684129083075190272000
"(14, -8)",-90454003705382578980307264803573165*x-202261301122254754999253491155948505
"(14, -6)",5102105796508785248248621859664000*x+11408655389387370921460513362748800
"(14, -4)",-10190512108262010636800296498636452*x-22786677799637528717421527261609908
"(14, -2)",-5707791729731141445265714045440*x-12763010237673929064158662845440
"(14, 0)",84848298468648449213855011860000*x+189726562909152423304621634100000
"(14, 2)",-25045906772054931985310070017280*x-56004350084161935204826983637760
"(14, 4)",10162232585808649069437515378100*x+22723471922303430864796275006788
"(14, 6)",695126803689139224851109388800*x+1554336237863767394204683219200
"(14, 8)",507957524696467440534634939005*x+1136085475854766268280689988905
"(14, 10)",5894436467791598140959667200*x+13246383470193332275810176000
"(14, 12)",1588598290529853578083455480*x+4393740524637682674487863960
"(14, 14)",244059249915363125871040000
"(14, 16)",-2225379643471225860824759067*x+4884129885415666529305436177
"(14, 18)",1208971419156163867220040960*x-2704275765186986212944195840
"(14, 20)",-8222818438502513742245891400*x+18386674659963271361752875000
"(14, 22)",-2252371190026699645190906880*x+5036456104230091293365347840
"(14, 24)",-2400247329242270108788959795*x+5367116205486503156557290873
"(14, 26)",2079200421543709756066569600*x-4649233481416384583247305600
"(14, 28)",-23281139739651134692984279500*x+52058211051531693243561630500
"(14, 30)",7370016353610209002049241600*x-16479857561957554925660928000
