weight,"(3, 79)"
"(12, -20)","(-18461766507425649941380935860836727644461015926638409942243995829951540241187111680, -8256352979066525844051430779323619821734199354761564367479338849967476132610235136)"
"(12, -18)","(-4339639656482569954040743410331310356957107368091725407838300700916091595482891064, -1940745853949772463866300487206355356067805596894631344049749339531769606657673648)"
"(12, -16)","(-212201555977644989500203082254414735845827739933640068059556666385993253044480900, -94899420819448208027120611059732105925469724548232696504843085000810794595306400)"
"(12, -14)","(-221910163006863671262813926295824209791161363722832874356891775750791442199814550, -99241241876281259919350655179929335850849647384056558229867619090893001973076650)"
"(12, -12)","(43166364985467369966230306553190040223728046460165264905600874627242350186111232, 19304585289814347108277823053911049858801678115479616402502486464776149248699136)"
"(12, -10)","(4121266508419470600987906585898189489189273201667438431247623904663597056391520, 1843086413243096008363097447417420196755386076707253622630393585667674313180688)"
"(12, -8)","(-1272577589281096539809354666168110272109232031789394915351230218622564252737952, -569113999279916332134623314135461396098569157927266967027824691517925546399744)"
"(12, -6)","(-63054053108932710872566865536518155073529781133693282057807014445121555534200, -28198631565248264482829008710724832676877054605449068437430084156659443365200)"
"(12, -4)","(3925278769460262318406689746226925140905415546656391512564692518426086076000, 1755425848970813664153747373542309202629133450155985916529195313943778847200)"
"(12, -2)","(-619315611408985192710433320068258321400699712994428854896399929359819217014, -277976349438856856889362401399463422704999957141668853608139496151762897982)"
"(12, 0)","(0, 26590087505046163341063316104999712894836122922762445942521298981039564800)"
"(12, 2)","(619315611408985192710433320068258321400699712994428854896399929359819217014, -277976349438856856889362401399463422704999957141668853608139496151762897982)"
"(12, 4)","(-3925278769460262318406689746226925140905415546656391512564692518426086076000, 1755425848970813664153747373542309202629133450155985916529195313943778847200)"
"(12, 6)","(63054053108932710872566865536518155073529781133693282057807014445121555534200, -28198631565248264482829008710724832676877054605449068437430084156659443365200)"
"(12, 8)","(1272577589281096539809354666168110272109232031789394915351230218622564252737952, -569113999279916332134623314135461396098569157927266967027824691517925546399744)"
"(12, 10)","(-4121266508419470600987906585898189489189273201667438431247623904663597056391520, 1843086413243096008363097447417420196755386076707253622630393585667674313180688)"
"(12, 12)","(-43166364985467369966230306553190040223728046460165264905600874627242350186111232, 19304585289814347108277823053911049858801678115479616402502486464776149248699136)"
"(12, 14)","(221910163006863671262813926295824209791161363722832874356891775750791442199814550, -99241241876281259919350655179929335850849647384056558229867619090893001973076650)"
"(12, 16)","(212201555977644989500203082254414735845827739933640068059556666385993253044480900, -94899420819448208027120611059732105925469724548232696504843085000810794595306400)"
"(12, 18)","(4339639656482569954040743410331310356957107368091725407838300700916091595482891064, -1940745853949772463866300487206355356067805596894631344049749339531769606657673648)"
"(12, 20)","(18461766507425649941380935860836727644461015926638409942243995829951540241187111680, -8256352979066525844051430779323619821734199354761564367479338849967476132610235136)"
"(12, 22)","(135155941781008874012391216650879415496175704324454656181108883386305414097060705958, -60443574677067967408512375402884427661034715376905141003186259622773356294756241514)"
"(12, 24)","(-204588750891442498750788251053048329716828769061335079000140263219910092710433716800, 91494870885007224898053243384619085331530192732743381394847891800581728325468435200)"
"(12, 26)","(-339918270681054549384244621598764426870965924667538572201967052879674197887296725050, 152016072007402341555178007754201277146434384570074987610367406693417795893909454850)"
"(13, -29)",0
"(13, -27)","(-7228871380522821389599995059888408124029718073691156127028919088859765365252577818744, -3232849561490355571925530967940038825511453541896181316875499360418933940127352552328)"
"(13, -25)","(2347382812016283903170133463148808939598253262323807049254477659162289047023524889300, 1049781507376604196278607027177539664330462734889671843414588685496072316042541571692)"
"(13, -23)","(-1615429550705094879284391024385265381837365370689254239318629160121644201254403365716, -722442057647707095006362927356348279947200945084391080391897179819541436529931390908)"
"(13, -21)","(7423457297974014043910603903383316440667405471233932255872985257883382194316758600, 3319871029267361450199534077969610007823375438412836574680964039164061416721626600)"
"(13, -19)","(26991569632156374816177762262796675878554442621263596540362156709161515316074934800, 12070996903384129514985370893944431389635399635627063625704147947473504077814271600)"
"(13, -17)","(4064554787676707868747112379018785215308674922721259292650647118063589583036836868, 1817724160703468659492286153504725668333197535293796820842572984064996568254386496)"
"(13, -15)","(6261659944064558441977963913890554863202096849673096111293022416120140705633912280, 2800299457383176694560169653943746388135050231103171332057012982185136197636026712)"
"(13, -13)","(1042314291316032507584069048207166206640949797312898091037264037991481490741388136, 466137121860433361989293219472279251925346635064406825206930206625373601540785528)"
"(13, -11)","(-148032444366514946577484744954339654977826952482761304405064420711367459802701000, -66202121695805704364912756686111518690891192832294289625073620549907723845090200)"
"(13, -9)","(5010297641057141947778420654266394973592111476218831634513385730210677531727400, 2240673222458532418650389507630838022353399010833845714816952369008264520320600)"
"(13, -7)","(1488773942269758649336164269372381529609055207183547628914008125443936073175740, 665799964973412382590022240631353854958145513219753248908062016035693383225980)"
"(13, -5)","(35657667258827484918877058366805431794092706442942999379943690005749047187160, 15946994526743653604434880286214747429694838671639077752300901911794583554472)"
"(13, -3)","(-7967334110036764553470833922386815334300354656385834191745400883378923398768, -3567852295589373313528657561372411957505199662925760346338764739431222756944)"
"(13, -1)","(-2630611556266385445946764882747712152441547114967085064121192232330160751400, -1197792123874842806628993974622824017461255415277554530932184126728368456100)"
"(13, 1)","(2630611556266385445946764882747712152441547114967085064121192232330160751400, -1197792123874842806628993974622824017461255415277554530932184126728368456100)"
"(13, 3)","(7967334110036764553470833922386815334300354656385834191745400883378923398768, -3567852295589373313528657561372411957505199662925760346338764739431222756944)"
"(13, 5)","(-35657667258827484918877058366805431794092706442942999379943690005749047187160, 15946994526743653604434880286214747429694838671639077752300901911794583554472)"
"(13, 7)","(-1488773942269758649336164269372381529609055207183547628914008125443936073175740, 665799964973412382590022240631353854958145513219753248908062016035693383225980)"
"(13, 9)","(-5010297641057141947778420654266394973592111476218831634513385730210677531727400, 2240673222458532418650389507630838022353399010833845714816952369008264520320600)"
"(13, 11)","(148032444366514946577484744954339654977826952482761304405064420711367459802701000, -66202121695805704364912756686111518690891192832294289625073620549907723845090200)"
"(13, 13)","(-1042314291316032507584069048207166206640949797312898091037264037991481490741388136, 466137121860433361989293219472279251925346635064406825206930206625373601540785528)"
"(13, 15)","(-6261659944064558441977963913890554863202096849673096111293022416120140705633912280, 2800299457383176694560169653943746388135050231103171332057012982185136197636026712)"
"(13, 17)","(-4064554787676707868747112379018785215308674922721259292650647118063589583036836868, 1817724160703468659492286153504725668333197535293796820842572984064996568254386496)"
"(13, 19)","(-26991569632156374816177762262796675878554442621263596540362156709161515316074934800, 12070996903384129514985370893944431389635399635627063625704147947473504077814271600)"
"(13, 21)","(-7423457297974014043910603903383316440667405471233932255872985257883382194316758600, 3319871029267361450199534077969610007823375438412836574680964039164061416721626600)"
"(13, 23)","(1615429550705094879284391024385265381837365370689254239318629160121644201254403365716, -722442057647707095006362927356348279947200945084391080391897179819541436529931390908)"
"(13, 25)","(-2347382812016283903170133463148808939598253262323807049254477659162289047023524889300, 1049781507376604196278607027177539664330462734889671843414588685496072316042541571692)"
"(13, 27)","(7228871380522821389599995059888408124029718073691156127028919088859765365252577818744, -3232849561490355571925530967940038825511453541896181316875499360418933940127352552328)"
"(13, 29)",0
"(14, -30)","(-165449200930462149351415386289071056056275958589791143467148161153842814211180636952800, -73991132020706964375893463240660485201303447921327994194880249051924931708108736795680)"
"(14, -28)","(-66935160329979154285181566795388036628928828621446486517047673847900779067328197953110, -29934313716536128687011294693543089111089700074282569094522511076005206149821776436040)"
"(14, -26)","(73366729863067069574234604487985165047705713024523068022835681613102469993770368640900, 32810599052136360984594633946369861566491537561429128476401423140474099084235192617300)"
"(14, -24)","(-18614227958451523420352171649286692191103601208599144332199503546242888749461154878600, -8324535812754947473472128110546368559730017955283859713054752420650360543542584450600)"
"(14, -22)","(-2785810987290139705169057714286815438361621324080614521435602040452160490790150267688, -1245852548009311006035166123075473906241821466504862746193510963746491334083625907768)"
"(14, -20)","(2056790466298924166112781693710642211774471965689429281784746549604671547680542538800, 919824659623576944025008284810207263328928036005608590442422697067963068166922033420)"
"(14, -18)","(212233696447038866350672406413328795273542609210472717709085291802339594547236631888, 94913794474326900047385733083302285914550956097174132265062588172369081123970838672)"
"(14, -16)","(77396810815202970123770686121206528872810521729432683491442019815103595602979075000, 34612906044896950983215683140738830125987900765365835684657394144423051618362292200)"
"(14, -14)","(-3084854136120876593462645877777345578570257996735989315677424817620296885165442000, -1379588709807533531617751200799743557457757564050362874409406770960942540194966000)"
"(14, -12)","(-1003305907867615723482612967457474916990861735454306925324208008420467620988930992, -448692042443734720356129411927165561067629797482210286495014410565647919539159872)"
"(14, -10)","(-20147634278061678769887283764557462883195499599344828829887811941462062490083200, -9010295966087940270061997146515583367905644162940855934001506156715509902220160)"
"(14, -8)","(-111054919273785093185929387646967320870428324655514784396577007951402654368354376, -49665269755482126587689520069321670977051480839614095418351054397612282709082824)"
