numerator,-4*x+9
"(11, -21)",3182526144*x+7116344802
"(11, -19)",2176035480*x+4865763422
"(11, -17)",-854582400*x-1910903600
"(11, -15)",-1049454000*x-2346651000
"(11, -13)",-1749666600*x-3912358450
"(11, -11)",245317248*x+548556624
"(11, -9)",-1798841880*x-4022331588
"(11, -7)",895141800*x+2002147700
"(11, -5)",209952000*x+469678500
"(11, -3)",-507339000*x-1133588250
"(11, -1)",-63238896*x-142609528
"(11, 1)",-86423760*x-194131448
"(11, 3)",63225000*x+134331750
"(11, 5)",14580000*x+35518500
"(11, 7)",36804600*x+94731700
"(11, 9)",5668344*x-12308868
"(11, 11)",3407184
"(11, 13)",6514200*x-9734450
"(11, 15)",3222000*x-7371000
"(11, 17)",2707200*x-5815600
"(11, 19)",-6745896*x+15138142
"(11, 21)",-9883440*x+22101282
"(11, 23)",-2388600*x+5341100
"(12, -26)",592832376*x+1325613492
"(12, -24)",4520880000*x+10108995000
"(12, -22)",-5965781400*x-13339892700
"(12, -20)",742331520*x+1659903840
"(12, -18)",-6023862000*x-13469765400
"(12, -16)",4186980000*x+9362385000
"(12, -14)",26364888*x+58876092
"(12, -12)",896313600*x+2004256800
"(12, -10)",281856960*x+630218880
"(12, -8)",-988344000*x-2210128200
"(12, -6)",-1267110000*x-2833545000
"(12, -4)",-36312192*x-82047168
"(12, -2)",-377206200*x-840518100
"(12, 0)",-70200000*x-157950000
"(12, 2)",212895000*x+470817900
"(12, 4)",-61133184*x-137204928
"(12, 6)",-10530000*x-41145000
"(12, 8)",-5846400*x-26800200
"(12, 10)",-3211200*x-3265920
"(12, 12)",12448800
"(12, 14)",-5668344*x-12308868
"(12, 16)",-12060000*x+31185000
"(12, 18)",18673200*x-41909400
"(12, 20)",-2298240*x+5171040
"(12, 22)",18531000*x-41420700
"(12, 24)",-14040000*x+31395000
"(12, 26)",-1841112*x+4116852
"(13, -29)",2403763488*x+5374978561
"(13, -27)",-13481955000*x-30146567850
"(13, -25)",-4988945520*x-11155621320
"(13, -23)",5515084800*x+12332104400
"(13, -21)",-8186149512*x-18304783218
"(13, -19)",-8361407376*x-18696667507
"(13, -17)",12746223000*x+28501459700
"(13, -15)",-752149440*x-1681845120
"(13, -13)",-120826800*x-270182150
"(13, -11)",-2895945192*x-6475350658
"(13, -9)",52341696*x+115661952
"(13, -7)",3417822000*x+7640179000
"(13, -5)",-143836560*x-322316820
"(13, -3)",318110400*x+712033200
"(13, -1)",364486248*x+823769452
"(13, 1)",629114616*x+1411832492
"(13, 3)",50616000*x+117601200
"(13, 5)",-49124880*x-111846420
"(13, 7)",-176454000*x-347101000
"(13, 9)",-99352512*x-221436288
"(13, 11)",21928536*x+8813182
"(13, 13)",-1678150
"(13, 15)",3211200*x-3265920
"(13, 17)",-36804600*x+94731700
"(13, 19)",26527032*x-56813267
"(13, 21)",25679736*x-56273778
"(13, 23)",-17136000*x+38280400
"(13, 25)",15493680*x-34645320
"(13, 27)",41869800*x-93623850
"(13, 29)",-7465176*x+16692641
"(14, -30)",3744180000*x+8372241000
"(14, -28)",26250084000*x+58696972250
"(14, -26)",-20924100000*x-46787710000
"(14, -24)",26611924824*x+59506071822
"(14, -22)",5619542400*x+12565676800
"(14, -20)",4904712000*x+10967278500
"(14, -18)",-2870884800*x-6419536200
"(14, -16)",4165043400*x+9313195262
"(14, -14)",-8152200000*x-18229225000
"(14, -12)",189417600*x+424753200
"(14, -10)",1549368000*x+3464532000
"(14, -8)",4073988600*x+9110155150
"(14, -6)",1853100000*x+4142070000
"(14, -4)",-1677945456*x-3749257798
"(14, -2)",-674589600*x-1513814200
"(14, 0)",-407610000*x-917122500
"(14, 2)",-385696800*x-871830200
"(14, 4)",202656960*x+429858682
"(14, 6)",-120060000*x-242730000
"(14, 8)",19006200*x+99083150
"(14, 10)",-1944000*x+17172000
"(14, 12)",85996800*x+194929200
"(14, 14)",-113225000
"(14, 16)",-21928536*x+8813182
"(14, 18)",5846400*x-26800200
"(14, 20)",-14580000*x+35518500
"(14, 22)",-17596800*x+38700800
"(14, 24)",-82725480*x+184626702
"(14, 26)",64980000*x-145310000
"(14, 28)",-81522000*x+182292250
"(14, 30)",-11628000*x+26001000
