numerator,(-x+3)/2
"(10, -22)",-2880*x-6440
"(10, -20)",(-46725*x-104575)/2
"(10, -18)",-122160*x-272880
"(10, -16)",-5061*x-10703
"(10, -14)",4800*x+18400
"(10, -12)",90585*x+203355
"(10, -10)",133500*x+311500
"(10, -8)",176715*x+415745
"(10, -6)",-292800*x-644400
"(10, -4)",(-241623*x-457109)/2
"(10, -2)",90240*x+85120
"(10, 0)",-80250*x-240750
"(10, 2)",-188160*x-378880
"(10, 4)",(160017*x+212291)/2
"(10, 6)",58200*x-59400
"(10, 8)",5115*x+129745
"(10, 10)",89000
"(10, 12)",-12015*x+32355
"(10, 14)",10800*x+28400
"(10, 16)",1659*x+497
"(10, 18)",18240*x-38880
"(10, 20)",(6675*x-15575)/2
"(10, 22)",420*x-940
"(11, -23)",-1110*x-2510
"(11, -21)",89088*x+198882
"(11, -19)",44205*x+98777
"(11, -17)",247680*x+550960
"(11, -15)",-158100*x-353700
"(11, -13)",212520*x+492470
"(11, -11)",-142344*x-332136
"(11, -9)",-117480*x-321948
"(11, -7)",272790*x+546830
"(11, -5)",-43200*x-42300
"(11, -3)",256425*x+713925
"(11, -1)",189168*x+401432
"(11, 1)",-59940*x-13748
"(11, 3)",173400*x+575550
"(11, 5)",87750*x+175950
"(11, 7)",-134520*x-132020
"(11, 9)",-71742*x-245718
"(11, 11)",-94896
"(11, 13)",-5115*x+129745
"(11, 15)",22800*x-52200
"(11, 17)",-40440*x+70760
"(11, 19)",-6552*x+14182
"(11, 21)",-13485*x+27927
"(11, 23)",120*x-460
"(12, -26)",20922*x+46782
"(12, -24)",12600*x+28200
"(12, -22)",-94470*x-212130
"(12, -20)",69120*x+155520
"(12, -18)",15300*x+32940
"(12, -16)",114600*x+228600
"(12, -14)",-619674*x-1398078
"(12, -12)",-25920*x-60480
"(12, -10)",353760*x+779040
"(12, -8)",-539400*x-1117080
"(12, -6)",60300*x+135300
"(12, -4)",262656*x+559872
"(12, -2)",-126810*x-389790
"(12, 0)",18000*x+54000
"(12, 2)",-140850*x-413190
"(12, 4)",-79488*x-10368
"(12, 6)",-8100*x+21300
"(12, 8)",212280*x+135720
"(12, 10)",-69600*x+73440
"(12, 12)",-17280
"(12, 14)",71742*x-245718
"(12, 16)",-58200*x-59400
"(12, 18)",-4140*x+540
"(12, 20)",-8640*x+25920
"(12, 22)",12450*x-33930
"(12, 24)",-1800*x+4200
"(12, 26)",-3054*x+6822
"(13, -29)",(987*x+2207)/2
"(13, -27)",-18600*x-41490
"(13, -25)",-39420*x-87660
"(13, -23)",-207360*x-460240
"(13, -21)",-289419*x-642303
"(13, -19)",439248*x+971573
"(13, -17)",-668850*x-1470970
"(13, -15)",-133440*x-264960
"(13, -13)",485535*x+1132915
"(13, -11)",587976*x+1224422
"(13, -9)",70752*x+212832
"(13, -7)",-558000*x-1256600
"(13, -5)",-289710*x-550710
"(13, -3)",93120*x-173520
"(13, -1)",-283854*x-524678
"(13, 1)",206472*x+292532
"(13, 3)",-586200*x-1305720
"(13, 5)",187920*x+245340
"(13, 7)",68100*x-213100
"(13, 9)",71616*x+214272
"(13, 11)",-221283*x-124343
"(13, 13)",323690
"(13, 15)",69600*x+73440
"(13, 17)",134520*x-132020
"(13, 19)",(-160017*x+212291)/2
"(13, 21)",49512*x-77418
"(13, 23)",35400*x-55640
"(13, 25)",6480*x-11160
"(13, 27)",2865*x-5715
"(13, 29)",-72*x+161
"(14, -30)",-33000*x-73800
"(14, -28)",-43575*x-97525
"(14, -26)",552000*x+1234400
"(14, -24)",350643*x+780057
"(14, -22)",-1226880*x-2737280
"(14, -20)",571050*x+1273950
"(14, -18)",946560*x+2067120
"(14, -16)",-961005*x-2094823
"(14, -14)",249000*x+581000
"(14, -12)",-61320*x-74520
"(14, -10)",259200*x+446400
"(14, -8)",-1002045*x-2378615
"(14, -6)",498000*x+1357200
"(14, -4)",493713*x+1277507
"(14, -2)",-262080*x-567280
"(14, 0)",-62250*x-186750
"(14, 2)",66360*x-19880
"(14, 4)",188265*x+768427
"(14, 6)",292800*x+1015200
"(14, 8)",-60765*x-809815
"(14, 10)",-237600*x-381600
"(14, 12)",102840*x+199080
"(14, 14)",166000
"(14, 16)",221283*x-124343
"(14, 18)",-212280*x+135720
"(14, 20)",-87750*x+175950
"(14, 22)",188160*x-378880
"(14, 24)",-57165*x+100377
"(14, 26)",-80400*x+180400
"(14, 28)",6225*x-14525
"(14, 30)",4800*x-10800
"(15, -33)",-2160*x-4830
"(15, -31)",-160341*x-358353
"(15, -29)",-125136*x-280728
"(15, -27)",-91620*x-204660
"(15, -25)",-642000*x-1444500
"(15, -23)",1470225*x+3314925
"(15, -21)",3600*x+13800
"(15, -19)",572064*x+1287072
"(15, -17)",658560*x+1468080
"(15, -15)",100125*x+233625
"(15, -13)",-2005440*x-4284720
"(15, -11)",1711134*x+3567222
"(15, -9)",-219600*x-483300
"(15, -7)",1197405*x+2818665
"(15, -5)",-1014600*x-2162700
"(15, -3)",67680*x+63840
"(15, -1)",1134384*x+2097522
"(15, 1)",-824061*x-1166553
"(15, 3)",-141120*x-284160
"(15, 5)",307050*x+40050
"(15, 7)",37080*x+884790
"(15, 9)",43650*x-44550
"(15, 11)",-638136*x-348228
"(15, 13)",591960*x+44280
"(15, 15)",66750
"(15, 17)",-102840*x+199080
"(15, 19)",-71616*x+214272
"(15, 21)",8100*x+21300
"(15, 23)",-173400*x+575550
"(15, 25)",80250*x-240750
"(15, 27)",13680*x-29160
"(15, 29)",16884*x-44028
"(15, 31)",23664*x-51678
"(15, 33)",315*x-705
