numerator,(-x+3)/2
"(7, 9)",359568*x+2512848
"(7, 11)",-273504*x+1037912
"(7, 13)",178590*x-373690
"(7, 15)",4320*x-9600
"(8, -16)",-671328*x-1502496
"(8, -14)",4470732*x+10031972
"(8, -12)",1508400*x+3323280
"(8, -10)",36279360*x+82584000
"(8, -8)",-7768320*x-18126080
"(8, -6)",-7902216*x-16267032
"(8, -4)",7143600*x+14947600
"(8, -2)",31844100*x+80246540
"(8, 0)",-46033920*x-76723200
"(8, 2)",-8915460*x-42032140
"(8, 4)",2581200*x+1260400
"(8, 6)",-3257208*x-2332008
"(8, 8)",5178880
"(8, 10)",3101760*x-16948800
"(8, 12)",294480*x-318480
"(8, 14)",599604*x-1581412
"(8, 16)",-95904*x+223776
"(9, -19)",256608*x+573612
"(9, -17)",-770085*x-1691985
"(9, -15)",-27993600*x-62208000
"(9, -13)",-13797990*x-31011630
"(9, -11)",14898240*x+32591088
"(9, -9)",(3168963*x+7394247)/2
"(9, -7)",42127920*x+94219470
"(9, -5)",-100123200*x-270120000
"(9, -3)",89579520*x+177215040
"(9, -1)",25259805*x+39012873
"(9, 1)",29890008*x+52903482
"(9, 3)",47705760*x+51593760
"(9, 5)",54748800*x+194496000
"(9, 7)",6118515*x-13808745
"(9, 9)",-1056321
"(9, 11)",3257208*x-2332008
"(9, 13)",-1775520*x+5055780
"(9, 15)",-4665600*x+7776000
"(9, 17)",-157320*x+146310
"(9, 19)",37710*x-83082
"(10, -22)",2880*x+6440
"(10, -20)",(-15988875*x-35784625)/2
"(10, -18)",3576240*x+7975920
"(10, -16)",30663696*x+68379248
"(10, -14)",-10924800*x-23770400
"(10, -12)",-701685*x+2441745
"(10, -10)",-45682500*x-106592500
"(10, -8)",-326561760*x-697610080
"(10, -6)",-6292800*x-5852400
"(10, -4)",(-100360053*x-193972879)/2
"(10, -2)",23984160*x+63256480
"(10, 0)",-266940000*x-444900000
"(10, 2)",-10940160*x-41516480
"(10, 4)",(-60300867*x-73795321)/2
"(10, 6)",-13246200*x-26712600
"(10, 8)",-96551040*x-7577920
"(10, 10)",30455000
"(10, 12)",-6118515*x-13808745
"(10, 14)",-2581200*x+1260400
"(10, 16)",4754064*x-9349648
"(10, 18)",552960*x-1093920
"(10, 20)",(-2284125*x+5329625)/2
"(10, 22)",420*x-940
"(11, -23)",-1847310*x-4128310
"(11, -21)",34834752*x+77929248
"(11, -19)",13549200*x+29871632
"(11, -17)",94252320*x+213978440
"(11, -15)",-483364800*x-1091352000
"(11, -13)",349295520*x+750655520
"(11, -11)",311402664*x+726606216
"(11, -9)",-624218400*x-1344224508
"(11, -7)",483844410*x+1095611570
"(11, -5)",878212800*x+1993536000
"(11, -3)",-116892000*x-533018400
"(11, -1)",240993312*x+871103768
"(11, 1)",-463179060*x-1241413348
"(11, 3)",390405600*x+988874400
"(11, 5)",83440800*x-390780000
"(11, 7)",50038080*x-205807420
"(11, 9)",-168427638*x+23147778
"(11, 11)",-207601776
"(11, 13)",96551040*x-7577920
"(11, 15)",-54748800*x+194496000
"(11, 17)",8915460*x-42032140
"(11, 19)",2614752*x-2931712
"(11, 21)",5027760*x-11491728
"(11, 23)",-273120*x+594260
"(12, -26)",612018*x+1368438
"(12, -24)",-2721600*x-6091200
"(12, -22)",11360970*x+25596030
"(12, -20)",276203520*x+613785600
"(12, -18)",-244360800*x-538371360
"(12, -16)",86430600*x+192840600
"(12, -14)",554775066*x+1182190062
"(12, -12)",621457920*x+1450068480
"(12, -10)",1075501440*x+2230108800
"(12, -8)",201110400*x+459669120
"(12, -6)",-1157263200*x-2421511200
"(12, -4)",-883851264*x-1748521728
"(12, -2)",961267410*x+2303221590
"(12, 0)",-186624000*x-311040000
"(12, 2)",-90396450*x-851769990
"(12, 4)",-470696832*x-509058432
"(12, 6)",-418154400*x-204184800
"(12, 8)",14382720*x-100513920
"(12, 10)",419091840*x+260880000
"(12, 12)",-414305280
"(12, 14)",168427638*x+23147778
"(12, 16)",13246200*x-26712600
"(12, 18)",-47705760*x+51593760
"(12, 20)",46033920*x-76723200
"(12, 22)",1369350*x-4378830
"(12, 24)",-388800*x+907200
"(12, 26)",89406*x-199398
"(13, -29)",(987*x+2207)/2
"(13, -27)",14794200*x+33079290
"(13, -25)",-105071040*x-235454400
"(13, -23)",-231824160*x-519693640
"(13, -21)",-183970251*x-409337247
"(13, -19)",160873008*x+355270063
"(13, -17)",133577850*x+345040370
"(13, -15)",-1858141440*x-4056268800
"(13, -13)",-1288184115*x-3005762935
"(13, -11)",-994971576*x-2027556262
"(13, -9)",-62746848*x-165495648
"(13, -7)",-1299686400*x-2830184800
"(13, -5)",1377768960*x+1720972800
"(13, -3)",-745764480*x-2626231920
"(13, -1)",-65234886*x+516944498
"(13, 1)",-1003738848*x-2298567388
"(13, 3)",1329172200*x+3598578120
"(13, 5)",2240732160*x+4309862400
"(13, 7)",-303625200*x+157998800
"(13, 9)",28629504*x+108633408
"(13, 11)",-441066123*x-365839903
"(13, 13)",858789410
"(13, 15)",-419091840*x+260880000
"(13, 17)",-50038080*x-205807420
"(13, 19)",(60300867*x-73795321)/2
"(13, 21)",-29890008*x+52903482
"(13, 23)",-31844100*x+80246540
"(13, 25)",-14567040*x+36057600
"(13, 27)",2160765*x-4821015
"(13, 29)",72*x-161
"(14, -30)",-1180800*x-2640000
"(14, -28)",40605600*x+90879200
"(14, -26)",-47424000*x-105893600
"(14, -24)",-146928627*x-325993593
"(14, -22)",100565280*x+227358880
"(14, -20)",294127200*x+741924000
"(14, -18)",100431360*x+243928320
"(14, -16)",2092491285*x+4588435583
"(14, -14)",232032000*x+541408000
"(14, -12)",-2200360680*x-5322049080
"(14, -10)",-582681600*x-1442304000
"(14, -8)",666856605*x+1509350135
"(14, -6)",54774000*x+175153200
"(14, -4)",794002248*x+3621806552
"(14, -2)",104590080*x+117268480
"(14, 0)",2784384000*x+4640640000
"(14, 2)",190162560*x+373985920
"(14, 4)",-2653701960*x-6721306072
"(14, 6)",-71020800*x-202231200
"(14, 8)",69972915*x-281300935
"(14, 10)",124070400*x+677952000
"(14, 12)",281811240*x+2124466680
"(14, 14)",-154688000
"(14, 16)",441066123*x-365839903
"(14, 18)",-14382720*x-100513920
"(14, 20)",-83440800*x-390780000
"(14, 22)",10940160*x-41516480
"(14, 24)",-25259805*x+39012873
"(14, 26)",-7143600*x+14947600
"(14, 28)",5800800*x-13535200
"(14, 30)",-172800*x+384000
"(15, -33)",-466560*x-1043280
"(15, -31)",17935056*x+40174608
"(15, -29)",52058304*x+116201232
"(15, -27)",-579350880*x-1292099040
"(15, -25)",1601640000*x+3559200000
"(15, -23)",-2849731200*x-6389102400
"(15, -21)",1769817600*x+3850804800
"(15, -19)",-263153376*x-594938208
"(15, -17)",-4173039360*x-9549217680
"(15, -15)",7400565000*x+17267985000
"(15, -13)",-1865391840*x-4113728520
"(15, -11)",2930665446*x+7366044078
"(15, -9)",1019433600*x+948088800
"(15, -7)",7393759920*x+18604442160
"(15, -5)",-10525248000*x-20822083500
"(15, -3)",-3885433920*x-10247549760
"(15, -1)",3861150336*x+11367193488
"(15, 1)",-3536764056*x-10826549688
"(15, 3)",1772305920*x+6725669760
"(15, 5)",-5605242750*x-6062067750
"(15, 7)",-2028503520*x-9662348160
"(15, 9)",2145884400*x+4327441200
"(15, 11)",-791737056*x-3801163428
"(15, 13)",-358278660*x+407611020
"(15, 15)",-4933710000
"(15, 17)",-281811240*x+2124466680
"(15, 19)",-28629504*x+108633408
"(15, 21)",418154400*x-204184800
"(15, 23)",-390405600*x+988874400
"(15, 25)",266940000*x-444900000
"(15, 27)",-89579520*x+177215040
"(15, 29)",7902216*x-16267032
"(15, 31)",2510784*x-6098208
"(15, 33)",-68040*x+152280
