numerator,(-x+1)/2
"(13, -19)",139004264*x+370238673
"(13, -17)",-298562250*x-810526150
"(13, -15)",364721280*x+1108588800
"(13, -13)",474192025*x+1422576075
"(13, -11)",-83859468*x-534754822
"(13, -9)",-257841984*x-1737187008
"(13, -7)",692119000*x+1671822000
"(13, -5)",1158772230*x+2333088450
"(13, -3)",-406075200*x+1744220400
"(13, -1)",85459402*x-1065415962
"(13, 1)",-660897084*x-1811772448
"(13, 3)",1481223000*x+3631518600
"(13, 5)",-571614120*x+602702100
"(13, 7)",-202267500*x+777435500
"(13, 9)",-481830528*x-1961175552
"(13, 11)",-141588209*x-592483563
"(13, 13)",948384050
"(13, 15)",7212480*x+751080000
"(13, 17)",42580300*x-469383600
"(13, 19)",(-46774119*x+415694699)/2
"(13, 21)",28363236*x-104196678
"(13, 23)",-12029000*x+2944200
"(13, 25)",-9135720*x+13820400
"(13, 27)",-378525*x+595425
"(13, 29)",-4*x+9
"(14, -30)",363000*x+825000
"(14, -28)",-7011375*x-16359875
"(14, -26)",-56300000*x-125040000
"(14, -24)",-57023691*x-151964103
"(14, -22)",186451200*x+463942400
"(14, -20)",480719250*x+978986250
"(14, -18)",492542400*x+1058139600
"(14, -16)",-508624095*x-1242695867
"(14, -14)",467425000*x+1402275000
"(14, -12)",201211800*x-1555715400
"(14, -10)",-1827144000*x-2764080000
"(14, -8)",-1511308675*x-1612456575
"(14, -6)",83550000*x-710670000
"(14, -4)",-214416891*x-616875983
"(14, -2)",1131623200*x+507920400
"(14, 0)",771251250*x+3856256250
"(14, 2)",-1443474600*x-2067177400
"(14, 4)",13187345*x-389271747
"(14, 6)",-480660000*x-1274880000
"(14, 8)",1460734725*x+1359586825
"(14, 10)",1358676000*x+421740000
"(14, 12)",-1079675400*x-2836602600
"(14, 14)",934850000
"(14, 16)",141588209*x-592483563
"(14, 18)",-209743800*x+355853400
"(14, 20)",-231585750*x+266681250
"(14, 22)",-47705600*x+229785600
"(14, 24)",9553485*x-85386927
"(14, 26)",21930000*x-46810000
"(14, 28)",2337125*x-7011375
"(14, 30)",-132000*x+330000
"(15, -33)",-23400*x-52650
"(15, -31)",-6339417*x-14092827
"(15, -29)",9007272*x+20756592
"(15, -27)",-135380700*x-278237700
"(15, -25)",156255000*x+390637500
"(15, -23)",-362454375*x-637762125
"(15, -21)",191295000*x+18720000
"(15, -19)",-1703333568*x-4146339648
"(15, -17)",-3037814400*x-6954092400
"(15, -15)",-450084375*x-1350253125
"(15, -13)",2010968400*x+5592698400
"(15, -11)",2918991978*x+4081202118
"(15, -9)",2525445000*x+4416457500
"(15, -7)",-2524731075*x-3554247825
"(15, -5)",1682161500*x+2075466000
"(15, -3)",1267531200*x+6593371200
"(15, -1)",3375211848*x+4057216278
"(15, 1)",-3034209633*x-2352205203
"(15, 3)",1395388800*x+6721228800
"(15, 5)",-1485509250*x-1092204750
"(15, 7)",2009972700*x+980455950
"(15, 9)",-1579938750*x+311073750
"(15, 11)",-2337886908*x-1175676768
"(15, 13)",-220103400*x+3361626600
"(15, 15)",-900168750
"(15, 17)",1079675400*x-2836602600
"(15, 19)",481830528*x-1961175552
"(15, 21)",-277582500*x-450157500
"(15, 23)",224800500*x-50507250
"(15, 25)",-39063750*x+195318750
"(15, 27)",63952200*x-78904800
"(15, 29)",-3132612*x+8616708
"(15, 31)",2462712*x-5290698
"(15, 33)",8775*x-20475
